Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion parte1 y parte 2,,,,2023-07-25 12:28:41,2023-07-25 12:28:45,"4,377s",FAILED
,,,,,,,
Test Cases/Parte1/Agregar contacto/agregar,,,,2023-07-25 12:28:41,2023-07-25 12:28:44,"3,029s",FAILED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-25 12:28:42,2023-07-25 12:28:44,"2,140s",PASSED
"tap(findTestObject(""Object Repository/Parte1/agregar/android.widget.ImageView""), 1)",,,,2023-07-25 12:28:44,2023-07-25 12:28:44,"0,319s",PASSED
,,,,,,,
Test Cases/Parte1/Envio de mensajes/CPN40,,,,2023-07-25 12:28:44,2023-07-25 12:28:44,"0,419s",FAILED
"tap(findTestObject(""Parte1/Envio de mensajes/CPN40/android.widget.FrameLayout""), 100)",,,,2023-07-25 12:28:44,2023-07-25 12:28:44,"0,048s",PASSED
,,,,,,,
Test Cases/Parte1/Envio de mensajes/CPN76,,,,2023-07-25 12:28:44,2023-07-25 12:28:45,"0,328s",FAILED
"tap(findTestObject(""Object Repository/Parte1/Envio de mensajes/CPN76/android.widget.FrameLayout""), 1)",,,,2023-07-25 12:28:45,2023-07-25 12:28:45,"0,046s",PASSED
,,,,,,,
Test Cases/Parte2/Ajustes/Cuenta/Recuperar Cuenta/CPN193,,"Test case terminos, condiciones y politicas de privacidad de Recuperar Cuenta",,2023-07-25 12:28:45,2023-07-25 12:28:45,"0,265s",FAILED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Recuperar Cuenta/android.widget.TextView - Recuperar Cuenta""), 0)",,,,2023-07-25 12:28:45,2023-07-25 12:28:45,"0,041s",PASSED
