Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-27 14:00:05,2023-07-27 14:01:23,"1m - 17,122s",ERROR
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-27 14:00:06,2023-07-27 14:01:11,"1m - 4,699s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-27 14:00:06,2023-07-27 14:00:45,"38,550s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-27 14:00:45,2023-07-27 14:00:46,"1,409s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-27 14:00:46,2023-07-27 14:00:48,"1,279s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-27 14:00:48,2023-07-27 14:00:49,"1,755s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-27 14:00:49,2023-07-27 14:00:55,"5,831s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-27 14:00:55,2023-07-27 14:01:00,"4,708s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-27 14:01:00,2023-07-27 14:01:02,"1,779s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-27 14:01:02,2023-07-27 14:01:05,"3,176s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-27 14:01:05,2023-07-27 14:01:07,"2,676s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-27 14:01:07,2023-07-27 14:01:08,"0,983s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:01:08,2023-07-27 14:01:11,"2,036s",PASSED
,,,,,,,
Test Cases/Parte2/Chats/CPN214,,,,2023-07-27 14:01:11,2023-07-27 14:01:23,"12,083s",ERROR
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout""), 0)",,,,2023-07-27 14:01:11,2023-07-27 14:01:12,"1,619s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout""), 0)",,,,2023-07-27 14:01:12,2023-07-27 14:01:14,"1,622s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (1)""), 0)",,,,2023-07-27 14:01:14,2023-07-27 14:01:16,"2,183s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (2)""), 0)",,,,2023-07-27 14:01:16,2023-07-27 14:01:17,"0,965s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:01:17,2023-07-27 14:01:19,"2,014s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton""), 0)",,,,2023-07-27 14:01:19,2023-07-27 14:01:20,"0,367s",PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:01:20,2023-07-27 14:01:23,"3,015s",PASSED
"pinchToZoomInAtPosition(ele_Height, ele_Width, 200)",,,,2023-07-27 14:01:23,2023-07-27 14:01:23,"0,018s",ERROR
