Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUEBA-CPN105.1,,,,2023-06-16 10:31:09,2023-06-16 10:41:51,"10m - 42,592s",PASSED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-06-16 10:31:09,2023-06-16 10:32:01,"51,992s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\APK SERVIDOR NUEVO\NapoleoN.apk"", true)",,,,2023-06-16 10:31:09,2023-06-16 10:31:51,"41,832s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-06-16 10:31:51,2023-06-16 10:31:52,"1,277s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 1)",,,,2023-06-16 10:31:52,2023-06-16 10:31:53,"0,465s",PASSED
pressBack(),,,,2023-06-16 10:31:53,2023-06-16 10:31:54,"1,112s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-16 10:31:54,2023-06-16 10:31:55,"0,633s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 1)",,,,2023-06-16 10:31:55,2023-06-16 10:31:55,"0,455s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 10:31:55,2023-06-16 10:31:56,"0,788s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-16 10:31:56,2023-06-16 10:31:56,"0,412s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 10:31:56,2023-06-16 10:31:57,"0,876s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-16 10:31:57,2023-06-16 10:31:57,"0,384s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-16 10:31:57,2023-06-16 10:31:59,"1,471s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 10:31:59,2023-06-16 10:31:59,"0,288s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 1)",,,,2023-06-16 10:31:59,2023-06-16 10:32:00,"0,439s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 10:32:00,2023-06-16 10:32:00,"0,821s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Empezar""), 100)",,,,2023-06-16 10:32:00,2023-06-16 10:32:01,"0,372s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-06-16 10:32:01,2023-06-16 10:32:08,"7,203s",PASSED
pressBack(),,,,2023-06-16 10:32:01,2023-06-16 10:32:02,"0,599s",PASSED
pressBack(),,,,2023-06-16 10:32:02,2023-06-16 10:32:02,"0,809s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-06-16 10:32:02,2023-06-16 10:32:04,"1,305s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 3000)",,,,2023-06-16 10:32:04,2023-06-16 10:32:05,"1,138s",PASSED
delay(2),,,,2023-06-16 10:32:05,2023-06-16 10:32:07,"2,038s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-16 10:32:07,2023-06-16 10:32:08,"1,088s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-06-16 10:32:08,2023-06-16 10:32:13,"5,339s",PASSED
pressBack(),,,,2023-06-16 10:32:08,2023-06-16 10:32:09,"0,375s",PASSED
pressBack(),,,,2023-06-16 10:32:09,2023-06-16 10:32:10,"1,000s",PASSED
"tap(findTestObject(""Object Repository/CPN2/android.widget.TextView - NapoleoN""), 500)",,,,2023-06-16 10:32:10,2023-06-16 10:32:10,"0,400s",PASSED
"toggleWifi(""off"", STOP_ON_FAILURE)",,,,2023-06-16 10:32:10,2023-06-16 10:32:11,"1,329s",PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-06-16 10:32:11,2023-06-16 10:32:13,"2,015s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-06-16 10:32:13,2023-06-16 10:32:30,"16,928s",PASSED
pressBack(),,,,2023-06-16 10:32:14,2023-06-16 10:32:14,"0,444s",PASSED
pressBack(),,,,2023-06-16 10:32:14,2023-06-16 10:32:15,"0,971s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-16 10:32:15,2023-06-16 10:32:16,"0,915s",PASSED
delay(4),,,,2023-06-16 10:32:16,2023-06-16 10:32:20,"4,014s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-06-16 10:32:20,2023-06-16 10:32:21,"0,973s",PASSED
"tap(findTestObject(""Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-06-16 10:32:21,2023-06-16 10:32:22,"0,705s",PASSED
"tap(findTestObject(""Abrir_App/CPN3/android.widget.Button - Crear Cuenta""), 0)",,,,2023-06-16 10:32:22,2023-06-16 10:32:23,"1,703s",PASSED
delay(3),,,,2023-06-16 10:32:23,2023-06-16 10:32:26,"3,005s",PASSED
