Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-27 14:41:46,2023-07-27 14:43:01,"1m - 14,968s",ERROR
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-27 14:41:46,2023-07-27 14:42:49,"1m - 2,583s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-27 14:41:46,2023-07-27 14:42:22,"35,763s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-27 14:42:22,2023-07-27 14:42:24,"1,412s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-27 14:42:24,2023-07-27 14:42:25,"1,262s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-27 14:42:25,2023-07-27 14:42:27,"1,864s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-27 14:42:27,2023-07-27 14:42:33,"6,052s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-27 14:42:33,2023-07-27 14:42:38,"5,442s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-27 14:42:38,2023-07-27 14:42:39,"1,140s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-27 14:42:39,2023-07-27 14:42:43,"3,225s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-27 14:42:43,2023-07-27 14:42:46,"2,957s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-27 14:42:46,2023-07-27 14:42:47,"0,984s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:42:47,2023-07-27 14:42:49,"2,041s",PASSED
,,,,,,,
Test Cases/Parte2/Chats/CPN214,,,,2023-07-27 14:42:49,2023-07-27 14:43:01,"12,036s",ERROR
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout""), 0)",,,,2023-07-27 14:42:49,2023-07-27 14:42:50,"1,445s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout""), 0)",,,,2023-07-27 14:42:50,2023-07-27 14:42:52,"1,703s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (1)""), 0)",,,,2023-07-27 14:42:52,2023-07-27 14:42:54,"2,088s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (2)""), 0)",,,,2023-07-27 14:42:54,2023-07-27 14:42:55,"0,965s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:42:55,2023-07-27 14:42:57,"2,013s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton""), 0)",,,,2023-07-27 14:42:57,2023-07-27 14:42:57,"0,350s",PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:42:57,2023-07-27 14:43:01,"3,012s",PASSED
tapOnImage(alto),,,,2023-07-27 14:43:01,2023-07-27 14:43:01,"0,061s",ERROR
