Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUEBA-CPN105.1,,,,2023-06-13 09:55:34,2023-06-13 10:05:51,"10m - 17,867s",PASSED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-06-13 09:55:34,2023-06-13 09:56:26,"51,964s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\APK SERVIDOR NUEVO\NapoleoN.apk"", true)",,,,2023-06-13 09:55:34,2023-06-13 09:56:16,"41,560s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-06-13 09:56:16,2023-06-13 09:56:17,"1,554s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 100)",,,,2023-06-13 09:56:17,2023-06-13 09:56:18,"0,467s",PASSED
pressBack(),,,,2023-06-13 09:56:18,2023-06-13 09:56:19,"1,083s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-13 09:56:19,2023-06-13 09:56:19,"0,547s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 100)",,,,2023-06-13 09:56:19,2023-06-13 09:56:20,"0,577s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-13 09:56:20,2023-06-13 09:56:21,"0,748s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-13 09:56:21,2023-06-13 09:56:21,"0,384s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-13 09:56:21,2023-06-13 09:56:22,"0,752s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-13 09:56:22,2023-06-13 09:56:22,"0,441s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-13 09:56:22,2023-06-13 09:56:23,"0,975s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-13 09:56:23,2023-06-13 09:56:24,"0,891s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-13 09:56:24,2023-06-13 09:56:25,"0,384s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-13 09:56:25,2023-06-13 09:56:25,"0,829s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Empezar""), 100)",,,,2023-06-13 09:56:25,2023-06-13 09:56:26,"0,391s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-06-13 09:56:26,2023-06-13 09:56:32,"6,402s",PASSED
pressBack(),,,,2023-06-13 09:56:26,2023-06-13 09:56:27,"0,704s",PASSED
pressBack(),,,,2023-06-13 09:56:27,2023-06-13 09:56:28,"0,790s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-06-13 09:56:28,2023-06-13 09:56:28,"0,907s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 3000)",,,,2023-06-13 09:56:28,2023-06-13 09:56:29,"0,959s",PASSED
delay(2),,,,2023-06-13 09:56:29,2023-06-13 09:56:31,"2,042s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-13 09:56:31,2023-06-13 09:56:32,"0,786s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-06-13 09:56:32,2023-06-13 09:56:38,"5,797s",PASSED
pressBack(),,,,2023-06-13 09:56:32,2023-06-13 09:56:33,"0,230s",PASSED
pressBack(),,,,2023-06-13 09:56:33,2023-06-13 09:56:34,"1,063s",PASSED
"tap(findTestObject(""Object Repository/CPN2/android.widget.TextView - NapoleoN""), 0)",,,,2023-06-13 09:56:34,2023-06-13 09:56:35,"1,401s",PASSED
"toggleWifi(""off"", STOP_ON_FAILURE)",,,,2023-06-13 09:56:35,2023-06-13 09:56:36,"0,857s",PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-06-13 09:56:36,2023-06-13 09:56:38,"2,010s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-06-13 09:56:38,2023-06-13 09:56:56,"17,653s",PASSED
pressBack(),,,,2023-06-13 09:56:38,2023-06-13 09:56:39,"0,256s",PASSED
pressBack(),,,,2023-06-13 09:56:39,2023-06-13 09:56:40,"1,013s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-13 09:56:40,2023-06-13 09:56:40,"0,810s",PASSED
