Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-26 12:07:31,2023-07-26 12:09:21,"1m - 49,536s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-26 12:07:32,2023-07-26 12:08:35,"1m - 3,476s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-26 12:07:32,2023-07-26 12:08:09,"37,179s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-26 12:08:09,2023-07-26 12:08:10,"1,429s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-26 12:08:10,2023-07-26 12:08:12,"1,298s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-26 12:08:12,2023-07-26 12:08:13,"1,452s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-26 12:08:13,2023-07-26 12:08:19,"6,231s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-26 12:08:19,2023-07-26 12:08:25,"5,356s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-26 12:08:25,2023-07-26 12:08:26,"1,222s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-26 12:08:26,2023-07-26 12:08:29,"3,261s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-26 12:08:29,2023-07-26 12:08:32,"2,655s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-26 12:08:32,2023-07-26 12:08:33,"0,994s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-26 12:08:33,2023-07-26 12:08:35,"2,040s",PASSED
,,,,,,,
Test Cases/CPN208,,,,2023-07-26 12:08:35,2023-07-26 12:09:21,"45,792s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Chats/android.widget.FrameLayout""), 0)",,,,2023-07-26 12:08:35,2023-07-26 12:08:37,"1,374s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Chats/android.widget.LinearLayout""), 0)",,,,2023-07-26 12:08:37,2023-07-26 12:08:38,"1,712s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Chats/android.widget.LinearLayout (1)""), 0)",,,,2023-07-26 12:08:38,2023-07-26 12:08:40,"2,085s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Chats/android.widget.LinearLayout (2)""), 0)",,,,2023-07-26 12:08:40,2023-07-26 12:08:41,"0,965s",PASSED
"verifyElementVisible(findTestObject(""Parte2/Ajustes cuenta/Chats/android.widget.ImageButton""), 0)",,,,2023-07-26 12:08:41,2023-07-26 12:08:43,"1,699s",PASSED
