Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-27 14:50:43,2023-07-27 14:52:10,"1m - 27,150s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-27 14:50:44,2023-07-27 14:51:47,"1m - 3,614s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-27 14:50:44,2023-07-27 14:51:21,"37,361s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-27 14:51:21,2023-07-27 14:51:23,"1,415s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-27 14:51:23,2023-07-27 14:51:24,"1,278s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-27 14:51:24,2023-07-27 14:51:25,"1,162s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-27 14:51:25,2023-07-27 14:51:33,"7,646s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-27 14:51:33,2023-07-27 14:51:37,"4,161s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-27 14:51:37,2023-07-27 14:51:38,"1,193s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-27 14:51:38,2023-07-27 14:51:42,"3,311s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-27 14:51:42,2023-07-27 14:51:44,"2,630s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-27 14:51:44,2023-07-27 14:51:45,"1,008s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:51:45,2023-07-27 14:51:47,"2,025s",PASSED
,,,,,,,
Test Cases/Parte2/Chats/CPN214,,,,2023-07-27 14:51:47,2023-07-27 14:52:10,"23,188s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout""), 0)",,,,2023-07-27 14:51:48,2023-07-27 14:51:49,"1,342s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout""), 0)",,,,2023-07-27 14:51:49,2023-07-27 14:51:51,"1,621s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (1)""), 0)",,,,2023-07-27 14:51:51,2023-07-27 14:51:53,"2,173s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (2)""), 0)",,,,2023-07-27 14:51:53,2023-07-27 14:51:54,"1,014s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:51:54,2023-07-27 14:51:56,"2,014s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton""), 0)",,,,2023-07-27 14:51:56,2023-07-27 14:51:56,"0,346s",PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:51:56,2023-07-27 14:51:59,"3,015s",PASSED
"swipe(centro, 10, 20, 10)",,,,2023-07-27 14:51:59,2023-07-27 14:52:01,"1,638s",PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:52:01,2023-07-27 14:52:06,"5,005s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.TextView""), 0)",,,,2023-07-27 14:52:06,2023-07-27 14:52:06,"0,346s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:52:06,2023-07-27 14:52:08,"2,008s",PASSED
pressBack(),,,,2023-07-27 14:52:08,2023-07-27 14:52:09,"0,438s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton (1)""), 0)",,,,2023-07-27 14:52:09,2023-07-27 14:52:09,"0,840s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout (1)""), 0)",,,,2023-07-27 14:52:09,2023-07-27 14:52:10,"1,043s",PASSED
