Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-05-19 14:18:48,2023-05-19 14:23:00,"4m - 12,056s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-05-19 14:18:48,2023-05-19 14:19:29,"41,151s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-19 14:18:49,2023-05-19 14:19:24,"35,631s",PASSED
pressBack(),,,,2023-05-19 14:19:24,2023-05-19 14:19:25,"0,555s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 14:19:25,2023-05-19 14:19:26,"1,397s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-19 14:19:26,2023-05-19 14:19:28,"2,161s",PASSED
delay(1),,,,2023-05-19 14:19:28,2023-05-19 14:19:29,"1,050s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-05-19 14:19:29,2023-05-19 14:19:32,"2,949s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 14:19:30,2023-05-19 14:19:30,"0,545s",PASSED
"verifyElementVisible(findTestObject(""Abrir_App/CPN2/android.widget.FrameLayout""), 0)",,,,2023-05-19 14:19:30,2023-05-19 14:19:31,"0,843s",PASSED
pressBack(),,,,2023-05-19 14:19:31,2023-05-19 14:19:31,"0,247s",PASSED
pressBack(),,,,2023-05-19 14:19:31,2023-05-19 14:19:32,"1,073s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-05-19 14:19:32,2023-05-19 14:19:54,"21,677s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-19 14:19:33,2023-05-19 14:19:33,"0,713s",PASSED
delay(4),,,,2023-05-19 14:19:33,2023-05-19 14:19:37,"4,008s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 14:19:37,2023-05-19 14:19:38,"1,211s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-19 14:19:38,2023-05-19 14:19:39,"0,787s",PASSED
pressBack(),,,,2023-05-19 14:19:39,2023-05-19 14:19:41,"1,937s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-19 14:19:41,2023-05-19 14:19:42,"0,843s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - Omitir""), 0)",,,,2023-05-19 14:19:42,2023-05-19 14:19:44,"1,837s",PASSED
"tap(findTestObject(""Abrir_App/CPN3/android.widget.Button - Crear Cuenta""), 0)",,,,2023-05-19 14:19:44,2023-05-19 14:19:45,"1,230s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-05-19 14:19:45,2023-05-19 14:19:47,"1,887s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.FrameLayout""), 0)",,,,2023-05-19 14:19:47,2023-05-19 14:19:49,"2,069s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - OK""), 0)",,,,2023-05-19 14:19:49,2023-05-19 14:19:50,"1,117s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-19 14:19:50,2023-05-19 14:19:51,"0,800s",PASSED
delay(3),,,,2023-05-19 14:19:51,2023-05-19 14:19:54,"3,017s",PASSED
,,,,,,,
Test Cases/INICIA_SESION_APODO_INEXISTENTE3.1/CPN21,,,,2023-05-19 14:19:54,2023-05-19 14:20:16,"22,424s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.ImageButton""), 0)",,,,2023-05-19 14:19:54,2023-05-19 14:19:55,"0,376s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Iniciar sesin""), 0)",,,,2023-05-19 14:19:55,2023-05-19 14:19:56,"0,940s",PASSED
"verifyElementText(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Recuperar Cuenta""), ""Recuperar Cuenta"")",,,,2023-05-19 14:19:56,2023-05-19 14:19:57,"1,689s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.EditText - Apodo""), 0)",,,,2023-05-19 14:19:57,2023-05-19 14:19:58,"0,548s",PASSED
"setText(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.EditText - Apodo (1)""), ""AUTOMATIZACION"", 0)",,,,2023-05-19 14:19:58,2023-05-19 14:20:00,"2,408s",PASSED
hideKeyboard(),,,,2023-05-19 14:20:00,2023-05-19 14:20:03,"2,930s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Recuperar""), 0)",,,,2023-05-19 14:20:03,2023-05-19 14:20:04,"0,410s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioButton - No eleg esta pregunta""), 0)",,,,2023-05-19 14:20:04,2023-05-19 14:20:06,"2,486s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente""), 0)",,,,2023-05-19 14:20:06,2023-05-19 14:20:08,"1,503s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-19 14:20:08,2023-05-19 14:20:08,"0,334s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup""), 0)",,,,2023-05-19 14:20:08,2023-05-19 14:20:08,"0,348s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-19 14:20:08,2023-05-19 14:20:09,"0,847s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-19 14:20:09,2023-05-19 14:20:10,"0,908s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-19 14:20:10,2023-05-19 14:20:11,"0,847s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-19 14:20:11,2023-05-19 14:20:12,"0,909s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-19 14:20:12,2023-05-19 14:20:12,"0,315s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-19 14:20:12,2023-05-19 14:20:13,"0,862s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-19 14:20:13,2023-05-19 14:20:14,"0,891s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Finalizar""), 0)",,,,2023-05-19 14:20:14,2023-05-19 14:20:15,"0,847s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/androidx.appcompat.widget.LinearLayoutCompat""), 0)",,,,2023-05-19 14:20:15,2023-05-19 14:20:16,"1,498s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Cerrar""), 0)",,,,2023-05-19 14:20:16,2023-05-19 14:20:16,"0,288s",PASSED
,,,,,,,
Test Cases/INICIA_SESION_APODO_EXISTENTE3.2/CPN22,,,,2023-05-19 14:20:16,2023-05-19 14:20:35,"18,762s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.EditText - Apodo""), 0)",,,,2023-05-19 14:20:17,2023-05-19 14:20:19,"2,488s",PASSED
"setText(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.EditText - Apodo (1)""), ""angello16"", 0)",,,,2023-05-19 14:20:19,2023-05-19 14:20:21,"1,660s",PASSED
hideKeyboard(),,,,2023-05-19 14:20:21,2023-05-19 14:20:23,"1,958s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Recuperar""), 0)",,,,2023-05-19 14:20:23,2023-05-19 14:20:23,"0,310s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioGroup""), 0)",,,,2023-05-19 14:20:23,2023-05-19 14:20:25,"1,480s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente""), 0)",,,,2023-05-19 14:20:25,2023-05-19 14:20:25,"0,824s",PASSED
