Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-27 10:14:27,2023-07-27 10:15:46,"1m - 19,325s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-27 10:14:27,2023-07-27 10:15:30,"1m - 2,399s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-27 10:14:28,2023-07-27 10:15:05,"36,965s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-27 10:15:05,2023-07-27 10:15:06,"1,446s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-27 10:15:06,2023-07-27 10:15:07,"1,272s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-27 10:15:07,2023-07-27 10:15:09,"1,842s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-27 10:15:09,2023-07-27 10:15:15,"5,834s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-27 10:15:15,2023-07-27 10:15:20,"4,692s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-27 10:15:20,2023-07-27 10:15:21,"1,193s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-27 10:15:21,2023-07-27 10:15:24,"3,178s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-27 10:15:24,2023-07-27 10:15:27,"2,626s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-27 10:15:27,2023-07-27 10:15:28,"0,972s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 10:15:28,2023-07-27 10:15:30,"2,034s",PASSED
,,,,,,,
Test Cases/Parte2/Chats/CPN214,,,,2023-07-27 10:15:30,2023-07-27 10:15:46,"16,612s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout""), 0)",,,,2023-07-27 10:15:30,2023-07-27 10:15:31,"1,444s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout""), 0)",,,,2023-07-27 10:15:31,2023-07-27 10:15:33,"1,620s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (1)""), 0)",,,,2023-07-27 10:15:33,2023-07-27 10:15:35,"2,184s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (2)""), 0)",,,,2023-07-27 10:15:35,2023-07-27 10:15:36,"0,968s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 10:15:36,2023-07-27 10:15:38,"2,017s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton""), 0)",,,,2023-07-27 10:15:38,2023-07-27 10:15:38,"0,308s",PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2023-07-27 10:15:38,2023-07-27 10:15:41,"3,017s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.TextView""), 0)",,,,2023-07-27 10:15:41,2023-07-27 10:15:42,"0,349s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 10:15:42,2023-07-27 10:15:44,"2,016s",PASSED
pressBack(),,,,2023-07-27 10:15:44,2023-07-27 10:15:44,"0,563s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton (1)""), 0)",,,,2023-07-27 10:15:44,2023-07-27 10:15:45,"0,856s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout (1)""), 0)",,,,2023-07-27 10:15:45,2023-07-27 10:15:46,"1,042s",PASSED
