Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-05-19 11:50:47,2023-05-19 11:55:00,"4m - 12,567s",FAILED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-05-19 11:50:48,2023-05-19 11:51:29,"41,049s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-19 11:50:48,2023-05-19 11:51:25,"37,062s",PASSED
pressBack(),,,,2023-05-19 11:51:25,2023-05-19 11:51:25,"0,468s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 11:51:25,2023-05-19 11:51:26,"0,653s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-19 11:51:26,2023-05-19 11:51:28,"1,467s",PASSED
delay(1),,,,2023-05-19 11:51:28,2023-05-19 11:51:29,"1,060s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-05-19 11:51:29,2023-05-19 11:51:31,"2,410s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 11:51:29,2023-05-19 11:51:29,"0,468s",PASSED
"verifyElementVisible(findTestObject(""Abrir_App/CPN2/android.widget.FrameLayout""), 0)",,,,2023-05-19 11:51:29,2023-05-19 11:51:30,"0,429s",PASSED
pressBack(),,,,2023-05-19 11:51:30,2023-05-19 11:51:30,"0,268s",PASSED
pressBack(),,,,2023-05-19 11:51:30,2023-05-19 11:51:31,"1,010s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-05-19 11:51:31,2023-05-19 11:51:39,"8,139s",FAILED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-19 11:51:31,2023-05-19 11:51:32,"0,836s",PASSED
delay(5),,,,2023-05-19 11:51:32,2023-05-19 11:51:37,"5,007s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-19 11:51:37,2023-05-19 11:51:38,"1,013s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-19 11:51:38,2023-05-19 11:51:39,"0,922s",PASSED
back(),,,,2023-05-19 11:51:39,2023-05-19 11:51:39,"0,177s",FAILED
,,,,,,,
Test Cases/Abrir_App/CPN4,,,,2023-05-19 11:51:39,2023-05-19 11:52:11,"31,431s",FAILED
"tap(findTestObject(""Object Repository/Abrir_App/CPN4/android.widget.ImageButton""), 0)",,,,2023-05-19 11:51:39,2023-05-19 11:52:11,"31,223s",FAILED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-05-19 11:52:11,2023-05-19 11:52:19,"8,296s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-05-19 11:52:11,2023-05-19 11:52:11,"0,205s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 0)",,,,2023-05-19 11:52:11,2023-05-19 11:52:11,"0,274s",PASSED
pressBack(),,,,2023-05-19 11:52:11,2023-05-19 11:52:12,"1,054s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-19 11:52:12,2023-05-19 11:52:13,"0,780s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 0)",,,,2023-05-19 11:52:13,2023-05-19 11:52:13,"0,287s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-19 11:52:13,2023-05-19 11:52:14,"0,725s",PASSED
